MARD,COCO,漫漫,盼盼,咪小窝,HEX值
A1,E02,E2,65,77,FAF4C8
A10,D07,B12,89,96,F77C31
A11,D01,E11,100,109,FFDD99
A12,K09,A18,99,110,FE9F72
A13,D04,B13,131,116,FFC365
A14,C05,B14,138,135,FD543D
A15,E04,B15,150,150,FFF365
A16,E03,IC04,216,216,FFFF9F
A17,E06,IC9,213,213,FFE36E
A18,D02,IC14,223,208,FEBE7D
A19,K10,IC15,218,218,FD7C72
A2,E01,B1,2,2,FFFFD5
A20,E09,Q6,242,242,FFD568
A21,E10,R07,276,261,FFE395
A22,E11,R06,270,255,F4F57D
A23,E12,R08,274,259,E6C9B7
A24,E13,G3,288,273,F7F8A2
A25,E14,G4,289,274,FFD67D
A26,E15,G5,290,275,FFC830
A3,E05,B2,28,28,FEFF8B
A4,E07,B3,3,3,FBED56
A5,D03,B4,74,79,F4D738
A6,D05,B5,29,29,FEAC4C
A7,D08,B6,4,4,FE8B4C
A8,E08,B10,88,98,FFDA45
A9,D06,B11,90,97,FF995B
B1,F05,C1,48,48,E6EE31
B10,G03,C11,96,100,95D3C2
B11,F14,C12,97,99,5D722A
B12,F12,C13,106,111,166F41
B13,F02,C14,128,119,CAEB7B
B14,F06,C15,129,117,ADE946
B15,F15,C16,130,122,2E5132
B16,F03,C17,141,133,C5ED9C
B17,F13,C18,142,141,9BB13A
B18,F07,C19,147,147,E6EE49
B19,G06,DH15,191,174,24B88C
B2,F08,C2,33,33,63F347
B20,G02,DH10,192,175,C2F0CC
B21,G07,DH2,207,194,156A6B
B22,G08,DH7,206,193,0B3C43
B23,F17,DH12,205,192,303A21
B24,F01,IC5,222,207,EEFCA5
B25,F18,Q13,240,240,4E846D
B26,F19,Q7,248,248,8D7A35
B27,F20,R10,262,262,CCE1AF
B28,F21,R11,269,254,9EE5B9
B29,F22,R09,268,253,C5E254
B3,F04,C7,26,26,9EF780
B30,F23,G6,285,270,E2FCB1
B31,F24,G7,286,271,B0E792
B32,F25,G12,287,272,9CAB5A
B4,F09,C3,66,78,5DE035
B5,F10,C4,39,39,35E352
B6,G04,C9,11,11,65E2A6
B7,G05,C10,44,44,3DAF80
B8,F11,C5,10,10,1C9C4F
B9,F16,C6,79,84,27523A
C1,G01,C8,64,76,E8FFE7
C10,H09,D25,121,130,3EBCE2
C11,H10,D28,122,113,28DDDE
C12,H23,D26,120,120,1C334D
C13,H01,D30,140,142,CDE8FF
C14,H02,D29,139,136,D5FDFF
C15,H11,D31,143,132,22C4C6
C16,H18,D32,149,149,1557A8
C17,H19,D36,163,156,04D1F6
C18,H24,DH6,196,196,1D3344
C19,H12,DH9,202,202,7F9698
C2,H03,D1,30,30,A9F9FC
C20,H17,DH14,197,197,176DAF
C21,H06,IC3,212,212,BEDDFF
C22,H25,Q11,239,239,67B4BE
C23,H26,R13,263,263,C8E2FF
C24,H27,R14,267,252,7CC4FF
C25,H28,R12,271,256,A9E5E5
C26,H29,R15,265,250,3CAED8
C27,H30,G13,279,264,D3DFFA
C28,H31,G14,280,265,BBCFED
C29,H32,G15,281,266,34488E
C3,H04,D2,63,75,A0E2FB
C4,H05,D3,77,82,41CCFF
C5,H07,D7,34,34,01ACEB
C6,H08,D4,25,25,50AAF0
C7,H13,D8,9,9,3677D2
C8,H14,D9,52,71,0F54C0
C9,H16,N5,42,42,324BCA
D1,J07,D5,46,46,AEB4F2
D10,J19,D15,92,91,361B51
D11,J06,D19,105,104,B9BAE1
D12,J10,D20,104,105,DE9AD4
D13,J14,D21,103,106,B90095
D14,J16,D22,102,107,8B279B
D15,H22,D18,101,108,2F1F90
D16,J01,D23,118,126,E3E1EE
D17,J05,D24,119,128,C4D4F6
D18,J13,D27,124,125,A45EC7
D19,J09,D33,153,153,D8C3D7
D2,J08,D6,36,36,858EDD
D20,J17,D34,161,155,9C32B2
D21,J18,D35,162,158,9A009B
D22,H21,DH1,198,198,333A95
D23,J02,IC8,217,217,EBDAFC
D24,J20,Q14,244,244,7786E5
D25,J21,Q15,249,234,494FC7
D26,J22,R01,273,258,DFC2F8
D3,H15,D10,8,8,2F54AF
D4,H20,D11,75,80,182A84
D5,J12,D13,32,32,B843C5
D6,J11,D14,27,27,AC7BDE
D7,J15,D12,7,7,8854B3
D8,J03,D16,94,89,E2D3FF
D9,J04,D17,93,90,D5B9F8
E1,K03,E1,18,18,FDD3CC
E10,K23,A16,83,94,D33793
E11,K02,A19,125,131,FCDDD2
E12,K16,A20,126,112,F78FC3
E13,K24,A21,127,124,B5006D
E14,K05,E21,137,140,FFD1BA
E15,K04,A23,135,139,F8C7C9
E16,K01,IC2,221,206,FFF3EB
E17,K11,IC7,220,205,FFE2EA
E18,K13,IC13,210,210,FFC7DB
E19,K14,IC12,215,215,FEBAD5
E2,K15,A7,38,38,FEC0DF
E20,K26,Q1,241,241,D8C7D1
E21,K27,Q2,253,238,BD9DA1
E22,K28,Q4,252,237,B785A1
E23,K29,Q3,250,235,937A8D
E24,K30,G8,282,267,E1BCE8
E3,K17,A8,62,74,FFB7E7
E4,K21,A9,6,6,E8649E
E5,K19,A10,40,40,F551A2
E6,K22,A11,20,20,F13D74
E7,K25,A12,41,41,C63478
E8,K12,A13,84,103,FFDBE9
E9,K18,A14,98,95,E970CC
F1,K08,A1,35,35,FD957B
F10,Z20,E15,116,115,8A4526
F11,Z23,E16,117,129,5A2121
F12,C01,A22,136,134,FD4E6A
F13,C04,A24,148,148,F35744
F14,K07,A25,154,154,FFA9AD
F15,C08,DH8,204,191,D30022
F16,K06,IC10,211,211,FEC2A6
F17,K31,Q9,245,245,E69C79
F18,K32,Q10,246,246,D37C46
F19,K33,Q05,243,243,C1444A
F2,C02,A2,31,31,FC3D46
F20,K34,R04,275,260,CD9391
F21,K35,R03,266,251,F7B4C6
F22,K36,R02,272,257,FDC0D0
F23,K37,R05,264,249,F67E66
F24,K38,G9,283,268,E698AA
F25,K39,G10,284,269,E54B4F
F3,C03,A3,53,72,F74941
F4,C06,A4,54,73,FC283C
F5,C07,A5,5,5,E7002F
F6,Z21,E9,16,16,943630
F7,C10,A6,47,47,971937
F8,C09,A17,81,92,BC0028
F9,K20,A15,82,93,E2677A
G1,Z02,E3,76,81,FFE2CE
G10,Z15,B9,87,101,D98C39
G11,Z07,E12,112,118,E0C593
G12,Z13,E13,113,127,FFC890
G13,Z14,E17,115,114,B7714A
G14,Z17,E14,114,123,8D614C
G15,Z03,E19,133,143,FCF9E0
G16,Z04,E20,134,138,F2D9BA
G17,Z16,E22,144,137,7B524B
G18,Z01,DH5,203,203,FFE4CC
G19,Z12,DH3,208,195,E07935
G2,Z05,E4,49,49,FFC4AA
G20,Z19,DH13,199,199,A94023
G21,Z24,Q8,247,247,B88558
G3,Z06,E5,80,85,F4C3A5
G4,Z08,E6,19,19,E1B383
G5,Z10,B7,43,43,EDB045
G6,Z11,B8,50,50,E99C17
G7,Z18,E7,17,17,9D5B3E
G8,Z22,E8,12,12,753B32
G9,Z09,E10,91,102,E6B483
H1,A02,F1,15,15,FDFBFF
H10,A10,F9,86,88,EEE9EA
H11,B01,F11,123,121,CECDD5
H12,A04,E18,132,144,FFF5ED
H13,A06,E23,145,146,F5ECD2
H14,B02,F12,146,145,CFD7D3
H15,B04,DH4,201,201,98A6A8
H16,B08,DH11,200,200,1D1414
H17,A07,IC6,214,214,F1EDED
H18,A03,IC1,219,204,FFFDF0
H19,A05,IC11,209,209,F6EFE2
H2,A01,F2,1,1,FEFFFF
H20,B10,Q12,251,236,949FA3
H21,A11,G1,291,276,FFFBE1
H22,A12,G2,277,277,CACAD4
H23,B11,G11,278,278,9A9D94
H3,B03,F3,13,13,B6B1BA
H4,B05,F4,78,83,89858C
H5,B06,F5,45,45,48464E
H6,B07,F6,51,70,2F2B2F
H7,B09,F7,14,14,000000
H8,A09,F8,85,86,E7D6DB
H9,A08,F10,95,87,EDEDED
M1,Y01,YX11,168,168,BCC6B8
M10,Y10,YX9,164,164,C5B2BC
M11,Y11,YX4,176,161,9F7594
M12,Y12,YX5,173,173,644749
M13,Y13,YX8,175,160,D19066
M14,Y14,YX3,165,165,C77362
M15,Y15,YX7,178,163,757D7B
M2,Y02,YX12,172,172,8AA386
M3,Y03,YX2,166,166,697D80
M4,Y04,YX15,167,167,E3D2BC
M5,Y05,YX6,174,159,D0CCAA
M6,Y06,YX1,169,169,B0A782
M7,Y07,YX13,171,171,B4A497
M8,Y08,YX14,177,162,B38281
M9,Y09,YX10,170,170,A58767
P1,M01,P1,71,62,FCF7F8
P10,M10,P18,187,187,D9C7EA
P11,M11,P9,185,185,F3ECC9
